iter	Passed	Remaining
0	159	159242
1	163	81816
2	168	55849
3	172	43042
4	178	35446
5	183	30354
6	188	26727
7	193	23981
8	198	21877
9	203	20169
10	208	18769
11	213	17616
12	217	16497
13	221	15634
14	227	14963
15	232	14319
16	237	13748
17	242	13229
18	247	12763
19	251	12299
20	255	11920
21	260	11579
22	265	11276
23	270	10996
24	275	10747
25	280	10499
26	285	10271
27	290	10076
28	295	9882
29	299	9683
30	304	9507
31	308	9346
32	313	9189
33	318	9038
34	323	8908
35	327	8782
36	333	8669
37	337	8553
38	342	8449
39	347	8333
40	351	8228
41	355	8100
42	359	7999
43	364	7924
44	369	7846
45	374	7767
46	379	7690
47	384	7624
48	389	7558
49	394	7494
50	399	7428
51	404	7373
52	409	7315
53	414	7252
54	418	7195
55	423	7137
56	426	7056
57	431	7002
58	436	6954
59	441	6912
60	445	6860
61	450	6819
62	455	6778
63	460	6736
64	466	6709
65	472	6680
66	476	6640
67	482	6613
68	487	6575
69	490	6513
70	495	6489
71	500	6456
72	505	6424
73	512	6407
74	516	6371
75	521	6336
76	527	6321
77	532	6292
78	537	6262
79	542	6236
80	546	6205
81	551	6176
82	556	6153
83	561	6125
84	566	6097
85	571	6070
86	576	6046
87	580	6020
88	585	5997
89	590	5974
90	595	5952
91	600	5929
92	605	5908
93	610	5887
94	615	5868
95	620	5844
96	625	5821
97	629	5797
98	634	5777
99	639	5756
100	644	5736
101	649	5716
102	654	5695
103	658	5675
104	663	5654
105	667	5633
106	672	5615
107	677	5594
108	681	5573
109	686	5552
110	690	5531
111	695	5515
112	699	5491
113	704	5475
114	709	5457
115	713	5440
116	719	5426
117	723	5409
118	728	5393
119	733	5379
120	738	5363
121	743	5349
122	748	5333
123	752	5318
124	757	5304
125	762	5289
126	767	5276
127	771	5257
128	776	5242
129	780	5225
130	786	5215
131	791	5201
132	796	5189
133	800	5176
134	805	5162
135	810	5148
136	815	5135
137	820	5123
138	825	5115
139	830	5103
140	835	5091
141	840	5079
142	845	5065
143	849	5052
144	854	5040
145	859	5028
146	864	5016
147	869	5006
148	874	4992
149	877	4971
150	882	4959
151	886	4948
152	891	4936
153	896	4924
154	901	4915
155	906	4904
156	911	4893
157	917	4889
158	922	4876
159	926	4866
160	931	4856
161	936	4845
162	942	4837
163	946	4827
164	952	4822
165	957	4811
166	964	4811
167	969	4801
168	974	4791
169	979	4782
170	986	4781
171	991	4772
172	997	4767
173	1003	4761
174	1006	4745
175	1011	4733
176	1017	4733
177	1022	4722
178	1028	4715
179	1035	4716
180	1040	4707
181	1043	4689
182	1050	4689
183	1055	4682
184	1061	4677
185	1067	4670
186	1071	4660
187	1078	4659
188	1084	4652
189	1089	4643
190	1095	4641
191	1099	4628
192	1104	4619
193	1111	4616
194	1115	4606
195	1121	4599
196	1128	4600
197	1134	4593
198	1139	4586
199	1144	4577
200	1149	4570
201	1155	4565
202	1160	4556
203	1164	4545
204	1169	4537
205	1178	4542
206	1183	4535
207	1190	4532
208	1195	4524
209	1200	4516
210	1207	4515
211	1212	4506
212	1216	4496
213	1222	4491
214	1228	4484
215	1233	4475
216	1238	4470
217	1243	4461
218	1248	4452
219	1254	4448
220	1259	4440
221	1264	4431
222	1271	4428
223	1276	4421
224	1281	4412
225	1286	4407
226	1292	4399
227	1297	4394
228	1304	4390
229	1308	4381
230	1313	4371
231	1319	4367
232	1324	4359
233	1328	4350
234	1335	4347
235	1341	4342
236	1346	4334
237	1351	4327
238	1356	4318
239	1361	4311
240	1369	4311
241	1374	4303
242	1378	4294
243	1384	4289
244	1389	4281
245	1394	4275
246	1399	4267
247	1405	4260
248	1411	4256
249	1417	4251
250	1422	4244
251	1427	4237
252	1432	4231
253	1437	4222
254	1443	4217
255	1449	4212
256	1454	4205
257	1462	4204
